listing_id,total_reviews,avg_rating
24034008,175,4.48
33802424,181,4.76
12926545,187,4.95
12916338,217,4.79
16544141,218,4.82
22784246,223,4.6
49660033,236,4.86
31570396,244,4.98
49660212,249,4.78
5847593,264,4.81
14086586,275,4.95
23522812,295,4.93
21134013,298,4.81
14233774,303,4.82
11599968,304,4.79
9116972,323,4.53
21962401,345,4.52
19381762,368,4.91
17979497,459,4.86
16465485,481,4.94
5780038,597,4.93
19479297,214,4.86
6.30E+17,1,5
49254493,4,4.5
7.61E+17,10,4.8
40950797,16,4.63
37091216,17,4.81
32423694,62,4.87
54370996,1,4
54371068,2,5
54371154,2,5
16352310,6,5
47230845,13,4.54
16323750,21,4.86
5145487,64,4.3
18433862,77,4.7
49550853,112,4.58
30775571,137,4.88
6.45E+17,1,5
41993155,1,5
22653398,1,4
6.50E+17,1,5
15251965,1,5
20895152,1,3
48948711,1,5
49516381,1,5
25135916,1,5
22633496,1,5
38156682,1,5
35900656,1,4
8.03E+17,1,5
7931456,2,4
7629788,2,3.5
49517485,3,4.33
15252636,3,3.33
4092017,3,4.67
6968949,3,5
12446479,3,3.33
8.85E+17,3,4.67
15253221,4,4.5
49589230,4,4.5
52687552,4,5
8.85E+17,4,4.5
15264519,5,4.4
22372488,6,3.83
34023379,6,4.83
20743970,6,5
34510493,7,4.71
42222012,9,4.22
10021958,10,4.3
10059646,10,4.8
4447266,10,4.9
40950812,11,4.64
22653176,12,4.67
40961021,12,4.08
10021464,14,4.93
2371799,14,4.79
16300909,15,4.85
1864715,16,4.88
41024183,16,4.38
9954831,17,4.53
13390535,17,4.29
23759196,17,4.82
6969950,18,4.44
16361327,18,4.56
5.87E+17,18,4.94
10059402,21,4.9
40029212,24,4.54
5.48E+17,25,4.32
1867513,26,4.76
50676686,26,4.96
6.65E+17,26,4.42
51650242,28,4.96
16676204,30,4.9
7725828,30,4.27
6.88E+17,31,4.84
22372846,35,4.29
50593806,37,4.65
6.91E+17,41,4.66
42518842,46,4.87
10021714,68,4.84
27579183,72,4.88
6027248,73,4.47
15980497,76,4.88
31236410,86,4.93
50356121,93,4.86
21729336,95,4.77
19025023,104,4.9
25239060,120,4.87
51121876,121,4.89
13207086,157,4.88
15522419,286,4.9
16427431,1,0
41992970,1,5
28679737,1,5
42964787,1,5
41875412,1,5
30395396,1,5
42108852,1,5
6.09E+17,1,5
40305227,1,5
43888344,1,4
49847814,1,5
24651395,1,5
33633909,1,5
48427765,1,5
39551431,1,2
53636647,1,5
16239379,1,5
7.79E+17,1,5
7.90E+17,1,5
41993096,2,5
52056321,2,4.5
6.19E+17,2,4.5
5.99E+17,2,5
8.84E+17,2,5
8.85E+17,2,4.5
42033815,2,5
41876638,2,5
14421376,2,5
28346249,2,5
21711623,2,5
14148096,2,5
8.84E+17,3,4.33
16583485,3,5
12869982,3,4.5
52056320,4,5
8.84E+17,4,4.75
20302085,4,5
20277898,4,4.75
4860800,4,3
40721023,5,4.6
8.85E+17,7,4.86
18975927,7,4.71
22075568,15,4.6
40786381,16,4.63
16545332,16,4.81
23102166,16,4.75
29183117,19,3.93
34757739,19,4.89
38711311,25,4.72
16525202,34,5
12223526,35,4.94
5.62E+17,39,5
6.91E+17,62,4.74
6.46E+17,68,4.74
842418,69,4.78
14520972,70,4.63
12289125,84,4.68
50117482,100,4.46
22573620,129,4.64
4427874,170,4.55
22392135,249,4.85
19508480,264,4.9
4204367,270,4.54
2477330,302,4.5
20124890,324,4.93
49254492,354,4.76
7.48E+17,26,5
7.78E+17,28,5
6.35E+17,31,5
16869795,52,4.94
50875966,3,4.33
11851356,20,5
7559867,381,4.93
50875772,4,4.75
8.47E+17,6,5
38915618,13,4.54
30179598,21,4.79
6.80E+17,26,4.65
15554376,26,4.77
19231140,30,4.83
15655208,35,4.83
28738052,54,4.74
51922422,59,4.71
48940186,80,4.93
28646312,113,4.97
27813807,125,4.54
28257191,191,4.79
20403766,231,4.76
20192249,238,4.65
7.78E+17,1,5
46419136,1,3
40212701,1,5
46419150,2,5
53953956,2,5
46419342,2,5
46451098,5,5
49371148,18,4.72
306465,19,4.56
7.36E+17,20,4.65
35717206,20,5
7.48E+17,21,4.95
30378859,29,4.9
5.95E+17,32,4.84
51987458,33,4.64
51987731,39,4.44
5.81E+17,40,4.9
49571052,63,4.79
296196,70,4.89
997859,94,4.83
45938605,111,4.75
27812605,114,4.49
44998059,115,4.75
36608550,124,4.78
45898477,129,4.85
49670688,139,4.94
45623851,181,4.82
38133336,206,4.8
1092713,430,4.58
8.84E+17,1,5
53145578,1,5
46487882,1,4
6.43E+17,1,5
52878079,1,5
46472709,1,4
7.75E+17,1,4
7.87E+17,1,5
6.15E+17,1,5
7.23E+17,2,4.5
50733128,2,5
46472727,2,4
27491163,2,5
46628220,2,5
8.84E+17,3,5
19457942,3,5
8.78E+17,4,5
5.90E+17,4,4.75
20808151,5,5
51323093,5,5
46419132,5,4.8
46472744,5,4.2
7.34E+17,6,4.83
16828556,6,4.8
40373899,7,4.71
50941983,7,4.86
5.72E+17,8,5
25950556,8,4.88
44597062,9,5
46472708,9,4.33
50844635,10,4.8
8.52E+17,10,5
29518918,10,4.9
46819326,10,5
50303269,11,4.82
49760565,12,4.42
6.24E+17,13,4.85
46546172,13,4.77
12927810,13,4.38
46694180,15,4.6
32082459,17,5
53277515,18,4.72
52548082,19,4.89
7.86E+17,20,4.65
6.41E+17,22,5
6.33E+17,29,4.86
26805068,32,4.69
22807715,36,4.81
7599680,39,4.53
46376464,41,4.76
17655720,41,4.49
16767868,42,4.9
30178288,42,4.98
1301928,45,4.42
6.34E+17,45,4.71
53741239,46,4.8
47422629,49,4.73
15483564,49,4.96
5.98E+17,66,4.71
24754002,67,4.99
42016076,74,5
5076606,75,4.61
48628620,77,4.74
5.30E+17,79,4.85
43478560,81,4.72
48381544,86,4.65
48628629,87,4.47
30324130,90,4.72
53941334,94,4.82
33718308,95,4.73
50189968,101,5
48628626,102,4.46
46875064,103,4.82
33856921,104,4.78
13748008,106,4.8
40612056,113,4.82
32358982,116,4.56
49710453,118,4.97
47907049,120,4.71
49638218,120,4.83
50329912,121,4.88
45877546,124,4.75
47584906,130,4.89
33277348,133,4.9
25137893,137,4.82
21695571,144,4.94
32492651,146,4.93
38104981,153,4.7
33469877,154,4.79
18409075,157,4.9
38104114,171,4.63
9363284,185,4.84
22633189,204,4.96
21305912,228,4.96
17964221,269,4.75
13313002,293,4.94
17964535,297,4.79
2694647,392,4.72
14805243,415,4.92
860336,504,4.73
4284144,505,4.74
5.72E+17,1,5
8.84E+17,1,5
19637156,1,3
53580223,1,5
36018580,1,4
50189970,1,1
50064134,1,5
48862420,1,5
24404499,1,5
46376799,1,5
8.95E+17,1,5
46414810,1,5
51186640,1,4
50082659,1,4
13959404,1,0
30016962,1,5
7.87E+17,1,5
7.81E+17,1,2
15155205,1,5
40162430,1,4
23539251,1,5
52240404,2,4.5
8.34E+17,2,4.5
8.97E+17,2,4
8.84E+17,2,5
5.85E+17,2,5
46488187,2,4.5
6.64E+17,2,5
47160436,2,4.5
52878311,2,5
21120222,3,5
35224647,3,4
48603452,3,5
19526445,3,5
48698426,3,5
15176149,3,5
52935936,4,5
8.85E+17,4,4.5
35225006,4,3.5
47052488,4,4.75
35224697,4,4.25
51310221,4,5
26101337,4,2.75
29775784,4,5
20842495,4,4.75
46529906,5,5
8.48E+17,5,4.8
46861924,5,5
6.23E+17,5,4.4
53362379,5,4.6
36027092,6,4.67
35068620,6,4.83
52861739,6,4.33
14360838,6,4.83
31099388,6,4.33
48697906,6,4.67
46120474,6,4.83
7.71E+17,7,5
28989507,7,4.86
27263226,7,5
16423741,9,4.25
46106600,9,4.78
17464583,9,4.71
2115421,9,4.67
43767651,10,4.9
2304761,10,4.78
7.49E+17,11,4.82
8.14E+17,11,4.91
28563385,11,4.64
51085180,11,4.91
33360028,11,4.82
30952933,12,4.92
35309607,12,4.7
16703018,12,4.5
32308418,13,4.77
43481170,14,5
11848786,14,4.71
12219364,14,4.77
44521751,14,5
52518334,15,4.2
22618081,16,4.81
22635161,16,4.69
7.20E+17,17,4.82
4343926,17,4.76
20253006,18,4.89
11911646,18,4.83
4022565,18,4.56
2964999,19,4.74
52878265,20,4.6
4218583,20,4.6
23925940,20,4.95
4411488,21,4.33
7599768,21,4.86
49362172,22,4.64
5.49E+17,22,4.59
801699,24,4.91
46696105,25,4.68
8165340,27,4.7
48713100,28,4.86
48080819,29,4.72
150109,31,4.83
49509893,32,4.94
21282511,34,4.74
6.34E+17,34,4.91
46696132,35,4.8
48832169,36,4.83
26571232,38,4.7
7.07E+17,41,4.63
4359352,44,4.88
50417461,48,4.94
47160427,48,4.71
4622571,48,4.91
48628618,48,4.58
40900667,49,4.55
52239871,51,4.16
10343356,51,4.96
47052036,53,4.62
3907276,53,4.87
52239878,55,4.49
35579189,55,4.42
52496361,60,4.93
19115559,61,4.87
43676905,64,4.58
6.59E+17,68,5
20607002,70,4.8
51975989,71,5
7452083,71,4.96
21642372,72,4.99
37834451,72,4.78
33997170,75,4.73
48710238,75,4.79
39752076,78,4.68
6.00E+17,86,4.81
6.03E+17,86,4.93
45450156,87,4.85
23034323,87,4.94
6.09E+17,88,4.8
49550796,92,4.71
2263350,93,4.65
18313435,94,4.73
5.91E+17,99,4.19
41298255,99,4.38
8646332,99,4.8
16825256,99,4.76
52987235,104,4.89
48973758,104,4.67
47962755,106,4.93
18826674,110,4.78
36258139,110,4.65
563607,113,4.76
52939714,115,4.83
53957479,115,4.95
53958255,115,4.96
53958894,119,4.92
52240980,120,4.48
5089725,123,4.85
36257592,124,4.85
39604044,127,4.33
18313133,129,4.81
1571112,134,4.94
33096397,152,4.93
43676822,152,4.71
33276776,154,4.88
30101500,165,4.91
35201832,170,4.91
3861766,176,4.93
8646530,177,4.85
5.91E+17,185,4.36
33277098,186,4.79
7800582,202,4.79
15343995,216,4.87
41528513,238,4.81
23464005,241,4.63
36260091,244,4.65
9171118,254,4.92
26579917,263,4.91
8363399,338,4.77
18598439,371,4.78
4083095,384,4.9
18288362,390,4.77
16405079,397,4.71
2346018,410,4.57
52240462,421,4.44
12865283,432,4.88
18949151,443,4.8
19142630,472,4.82
53556450,18,4.67
9318555,104,4.6
54353625,110,4.96
4936102,7,4.86
8933705,64,4.62
27466057,150,4.77
37303418,215,4.98
20049395,238,4.88
6.72E+17,2,5
8.83E+17,2,3.5
